贴文ID,作者名字,认证状态,粉丝数,转评赞数,微博内容,话题名称,视频标题
OCAFwkayO,名人张聊,True,928483,1597020,腾讯马化腾：为招聘一名外籍科学家，我们甚至专门做了一个ppt。  #马化腾##腾讯##人才招聘##老张杂谈# http://t.cn/A6nhFY7x ,马化腾/腾讯/人才招聘/老张杂谈,名人张聊的微博视频
KeScFBnFH,电商报,True,4266514,52793385,【珍贵视频回顾】马云、马化腾罕见同台领奖，主持人问马云：你和马化腾都姓马，都是做互联网的，能不能说说你们二马之间有什么显著区别？马云调侃：他长得比我帅！[doge] http://t.cn/A6V7VsXk ,,电商报的微博视频
NEfhP2TYN,凤凰网科技,True,4592875,49345052,【#马化腾年会同款毛衣网店卖79元# 】#马化腾年会红毛衣某宝79元# 近日，腾讯举办年会，马化腾现身登台唱粤语歌曲《祝福你》。其中马化腾身穿的红色毛衣被网友发现在网上仅售79.99元包邮。  @凤凰网科技 实测发现，售价79.99元属实，经过仔细比对，外观一致。目前已售出200件。通过图片搜索，在电商平 ,马化腾年会同款毛衣网店卖79元/马化腾年会红毛衣某宝79元,凤凰网科技的微博视频
OFaWU6qAF,上海滩蚂蚁哥,True,657845,11975542,为什么网友只敢恶搞雷军，却不敢动马云马化腾？只因他的格局远超他人 http://t.cn/A6n0Cn3k ,,上海滩蚂蚁哥的微博视频
OckryewqD,伯阳先生-段本司,True,316995,6878991,#褚会长称990万已支付完成#     “礼不下庶人“ 的另外一种字面意义上的歪曲体现  又是让周鸿祎介绍马化腾（恶意玩笑，故意给他难堪） 又是质问周鸿祎是否真的吃了头孢不能喝酒（潜台词是你老周是不是看不起我们装病不喝酒）  周鸿祎大概率已经很多年没和阶级、地位差距巨大 而又不受他的利益链条管辖 ,褚会长称990万已支付完成,伯阳先生-段本司的微博视频
O9kHNBJ8P,麒炜投资,True,287733,3122164,马化腾:一步踏错巨头也会倒下！#苹果市值一夜暴涨8113亿# http://t.cn/A6TCnpJt ,苹果市值一夜暴涨8113亿,麒炜投资的微博视频
Omrg9i269,恰到好处的华丽,True,151642,604527,#一枚军粉[超话]#为何说马云永远都干不过马化腾？#商业思维 ##财经##老板 ##臧其超# http://t.cn/A6QRggzX ,商业思维 /财经/老板 /臧其超,涵椰冰的微博视频
O2O6wFKra,司马南,True,3217599,37482398,【@司马南：2023的小黄，他怎么赚钱那么容易?】 中国最赚钱的人？ 以股票市值计算，他的财富在一年间增加了1000亿，平均每天暴赚2.7亿元，每小时就能收入1125万; 马化腾、丁磊、李书福、李想也都实现了身家的逆势上涨。 除了这些大老板，带货直播间的小杨哥、董宇辉等网红主播也都是逆势大赚的典型。  ,中国什么生意最赚钱,司马南的微博视频
O3i6Dn8Z2,文化芝士分子,True,148593,241490,马化腾演讲大会，对末来财富趋势 http://t.cn/A6YRXfFf ,,文化芝士分子的微博视频
N9ptI0pGM,电商行业,True,2904443,8875502,马化腾正面回应抄袭：在我看来，我倒无所谓谁抄谁，因为最难的是你能不能满足用户的需求。 http://t.cn/A60Z9Yxh ,,电商行业的微博视频
LasCshRLa,财联社APP,True,4116488,23524352,#马化腾说腾讯只是一家普通公司#【马化腾：腾讯只是一家普通公司，随时都可以被替换】在日前举行的腾讯员工大会上，马化腾对2021年发生的一系列变化表达了自己的想法，他说，腾讯只是国家社会大发展期间的一家普通公司，是国家发展浪潮下的受益者，并不是什么基础服务，随时都可以被替换。未来，腾讯在 ,马化腾说腾讯只是一家普通公司/马化腾称腾讯随时可以被替换,财联社CC新闻的微博视频
La9ifbKeN,思想先行,True,2889542,6882733,当被问到你怎么看马云，马化腾的回答情商很高滴水不漏。  http://t.cn/A6JbSwik ,,思想先行的微博视频
Ogx4ynCoq,名人张聊,True,928483,1597020,腾讯创始人马化腾：人品不正，能力再强也不要。  #马化腾##腾讯##企业管理##老张杂谈# http://t.cn/A6Hlxm6S ,马化腾/腾讯/企业管理/老张杂谈,名人张聊的微博视频
Mruw2pHtd,跨通社,True,112710,1611006,马化腾回怼专家 ：很多企业家、创始人的直觉是非常准的。创业需要实战，而不是纸上谈兵！ http://t.cn/A69BlUIN ,,跨通社的微博视频
LDMBRAsmt,许有希光,True,325199,6342648,马化腾：未来几十年，WeChat和QQ将会消失！ http://t.cn/A6anrxK9 ,,许有希光的微博视频
MnaDHAXTz,夏沫花雨_,True,294,6904,#马化腾[超话]# 小马哥讲述创业初期受过的委屈！出去争取订单经常吃闭门羹，团队都是技术出身的脸皮特别薄，每次出门都变得胆战心惊。没钱了，连服务器都没地方放了！ http://t.cn/A69PKT21 ,,夏沫花雨_的微博视频
NBuAOF1GA,名人张聊,True,928483,1597020,马化腾的这一段话，说出了目前中国专家存在的问题。#马化腾##腾讯# http://t.cn/A6jZskub ,马化腾/腾讯,名人坊间八卦的微博视频
L4oebdIqF,老殁,True,614162,1756360,宗庆后当众问腾讯服务器在哪里？马化腾支支吾吾说了一堆借口理由却不敢说实话。 http://t.cn/A6xNdJST ,,老殁的微博视频
KroXEnOgr,中国IT杂谈,True,2686103,6266814,马化腾谈腾讯和阿里的竞争，说出了实话：老大老二竞争时候，往往老三老四完蛋了[允悲]#微博放映厅# http://t.cn/A6Ivs2om ,微博放映厅,中国IT杂谈的微博视频
P3C30u0WG,顺十而为,True,228120,5627084,1万微信好友不够！周鸿祎求助马化腾，感谢微信上线“单删好友”功能 http://t.cn/A6mKTDrX ,,顺十而为的微博视频
Oix7Gkq2a,电商行业,True,2904443,8875502,马云马化腾同台领奖，马云调侃自己长得不咋地：马化腾比我帅。 http://t.cn/A6Hs1Vyw ,,电商行业的微博视频
Laoblw3iD,老板联播,True,6092931,154984760,【#腾讯还是普通公司吗#？#腾讯起家史#：23年前马化腾是这样子】近日#马化腾说腾讯只是一家普通公司#。1998年，腾讯从在深圳华强北赛格科技园一间办公室起步。你知道马化腾曾在华强北装过电脑吗？你知道今天那只胖嘟嘟的QQ企鹅原来是瘦长的吗？来看看23年前的小马哥和腾讯，到底经历了什么才走到今天？ ,腾讯还是普通公司吗/腾讯起家史/马化腾说腾讯只是一家普通公司,老板联播的微博视频
Lekjo6rP9,模型预测,True,357603,1284941,【马化腾】拿出10天的王者荣耀利润，支持中国基础科学研究！ 小马哥值得信赖 http://t.cn/A6i0Z29S ,,模型预测的微博视频
OeoBHh3dR,麒炜投资,True,287733,3122164,#腾讯# CEO马化腾暗讽马云:阿里的赋能更像一种绑架！  性情中人，敢做敢说！ http://t.cn/A6Hco3VF ,腾讯,麒炜投资的微博视频
Mn2ZFjWTh,历史探秘,True,1493701,7780029,腾讯创始人马化腾：我不在乎谁抄谁。全世界都抄美国模式！[思考][并不简单] http://t.cn/A69v0exH ,,历史探秘的微博视频
OvcjpwP0S,数码新探,True,455497,242380,微信可能真的会败给苹果，腾讯、马化腾面临挑战。 #微信# #腾讯# http://t.cn/A6RN5FBF ,微信/腾讯,数码新探的微博视频
KnMyTrqef,游戏电竞君,False,2301666,9516773,所以排位妥妥的是被设计了？ 怪不得人机越打越像真人了[doge][doge]  #马化腾称王者荣耀将举办AI电竞赛#  http://t.cn/A6foxHPO ,马化腾称王者荣耀将举办AI电竞赛,游戏电竞君的微博视频
LC9g9BDow,金刀王,True,1764762,10478305,#深圳大学#马化腾吐槽母校深圳大学：教授工资太低，校长喊我捐钱...   cyc http://t.cn/A6apOA8T ,深圳大学,金刀王的微博视频
Lo4OK2PkA,电商报,True,4266514,52793385,#马化腾说微信超越QQ我也没办法#：QQ的手机端、PC端是不同的老板在管，要改变心有余而力不足。所以换微信越改越像QQ。[喵喵]#微信农场##微信农场背景##如何评价微信农场##微信农场为什么这么火# http://t.cn/A66nDlp9 ,马化腾说微信超越QQ我也没办法/微信农场/微信农场背景/如何评价微信农场/微信农场为什么这么火,电商报的微博视频
O8NMHAKfX,电商行业,True,2904443,8875502,马化腾回应微信提现手续费：我们承担不起巨额成本，但普通用户其实并不受太大的影响。 http://t.cn/A6TSaKwN ,,电商行业的微博视频
NBtLE9lYs,名人张聊,True,928483,1597020,马化腾 ：每年春节后都发开工红包，可是老外们还是不明白啥是lucky money。#马化腾##腾讯##开年红包# http://t.cn/A6jZ3Ld0 ,马化腾/腾讯/开年红包,名人坊间八卦的微博视频
ODNjQlCUF,靖安发布,True,34529,159225,【2024胡润百富榜：#张一鸣3500亿身家成中国首富#】#宗馥莉810亿身家成中国女首富#10月29日，2024胡润百富榜发布，张一鸣以3500亿元身家成中国首富，钟睒睒退居第二，马化腾位列第三，宗馥莉成中国女首富，财富810亿元。不过，最新的福布斯和彭博实时富豪榜上，中国首富仍是钟睒睒，财富值分别为3585亿 ,张一鸣3500亿身家成中国首富/宗馥莉810亿身家成中国女首富,澎湃新闻的微博视频
KjcDdpjdq,娱说星迹,True,251002,12284570,从来没有清晰的认识过马化腾，现在真的是大人小孩都逃不过马化腾手掌 #动漫综艺咖##视频创意话题大赛# http://t.cn/A6VRSbUh ,动漫综艺咖/视频创意话题大赛,动漫综艺咖的微博视频
P7gPGpqQC,柴孝伟,True,170960,268482,滴滴程维，只要思维在上坡，办法总比困难多。  #财经##商业世界##企业家##热门视频# http://t.cn/A6uMMSOa ,财经/商业世界/企业家/热门视频,柴孝伟的微博视频
NxldiDDQo,軍醫周曉峰,False,862901,4826803,马云 马化腾 王健林等首富们最真实的一面 2024远离无用社交，什么亲情友情爱情，没钱谁都看不起你，多跟一些有能力的人在一起，活到老学到老…… http://t.cn/A6lML6Sc ,,軍醫周曉峰的微博视频
M7PtrtrTb,后厂炒饭哥,False,9115,30827,为什么国外互联网公司在华屡屡失败，听听腾讯马化腾怎么分析[并不简单] http://t.cn/A6oPsYIO ,,大厂灵通师的微博视频
O4e8AFam9,刘润,True,732348,1051572,本期访谈重点： 2024，国内外还有什么机会？ 吴晓波老师怎么看待如今直播行业的“暴利” 当下出海很重要，但我们到底应该怎么做？ 如今中国的创业环境是怎样的？ 老一代创业者和现在的创业者，有什么本质上的不同？ 吴晓波老师当初被告“抄袭”，有什么心路历程？#吴晓波##刘润##直播##马化腾##张瑞敏# ,吴晓波/刘润/直播/马化腾/张瑞敏/机会,刘润的微博视频
OcfrACc1K,好大的奕,True,688061,5566971,老周拍卖完他前妻名下的迈巴赫600之后，邀请竞拍得主吃了顿饭。 但是，这顿饭好像吃得不是那么开心…[允悲]  “周总，您能介绍马化腾我认识一下吗？” “周总，加你微信了，你通过一下”  老周：“我最近吃头孢了，喝不了酒” “真的假的？”  …  整个场面确实挺混乱的。 甚至还有绕过周鸿祎这个“东 ,,好大的奕的微博视频
MeXw8nO0E,名人故事-,True,142785,227944,腾讯董事长办公室竟对马化腾大吼格局#名人故事##名人经历#  http://t.cn/A6oDSuMB ,名人故事/名人经历,名人故事-的微博视频
MkTA54KiF,吐槽曝料,True,1309637,8311147,烟台：这年头敢扶老人的，除了善良，更多的是需要勇气，这女的没录像就扶了，好人一生平安！🙏#吐槽曝料[超话]##马化腾称短视频冲击了游戏# http://t.cn/A6KQHFSj ,马化腾称短视频冲击了游戏,吐槽曝料的微博视频
KlIACh03P,电商报,True,4266514,52793385,马化腾曾遭遇尴尬提问：腾讯走自己的路让别人无路可走？马化腾：这是一个很大的误解，没有扼杀小公司的梦想，只是没合作。[doge] http://t.cn/A6fUIYKd ,,电商报的微博视频
NCp7KqGCV,名人张聊,True,928483,1597022,半夜焦虑到上知乎提问? 马化腾：是的，我非常焦虑！#马化腾##腾讯##知乎# http://t.cn/A6jGKqGx ,马化腾/腾讯/知乎,名人坊间八卦的微博视频
